gene_symbol,probe_id,probe_name,total_detected_samples,total_samples,overall_detection_rate,number_of_donors_present,donors_with_detection_rate_at_least_0_5,reliable_probe
PCGF3,1047534,A_23_P21346,3530,3702,0.9535386277687736,6,6,True
PDE5A,1023660,A_24_P911678,1803,3702,0.48703403565640196,6,2,False
PDE5A,1029314,A_23_P500844,1705,3702,0.46056185845488923,6,3,False
PDE5A,1029315,CUST_11485_PI416261804,2672,3702,0.7217720151269584,6,6,True
PDGFB,1025515,A_24_P339944,3588,3702,0.9692058346839546,6,6,True
PDGFB,1025516,CUST_14345_PI416261804,3073,3702,0.8300918422474338,6,6,True
PDLIM2,1030473,CUST_1291_PI416379584,3700,3702,0.9994597514856834,6,6,True
PDLIM2,1030474,CUST_14277_PI416261804,3682,3702,0.9945975148568341,6,6,True
PDLIM2,1030475,CUST_1251_PI416573500,3698,3702,0.9989195029713668,6,6,True
PDLIM2,1030506,A_24_P160380,25,3702,0.00675310642895732,6,0,False
PDLIM2,1030507,A_23_P20285,3208,3702,0.8665586169638033,6,6,True
PDLIM2,1063413,A_24_P290609,2728,3702,0.7368989735278229,6,6,True
PIK3CA,1053064,A_23_P92057,3661,3702,0.98892490545651,6,6,True
PIK3CA,1053065,CUST_15807_PI416261804,3698,3702,0.9989195029713668,6,6,True
PITPNM2,1040522,A_23_P403542,1454,3702,0.3927606699081578,6,2,False
PITPNM2,1040523,A_23_P401361,3229,3702,0.8722312263641275,6,6,True
PKP2,1028774,A_23_P162466,3061,3702,0.8268503511615343,6,6,True
PKP2,1028775,CUST_14247_PI416261804,1749,3702,0.47244732576985415,6,4,False
PKP2,1068149,A_24_P133288,977,3702,0.2639113992436521,6,1,False
